2a12:dd47:81e2::/48,JP,JP-TK,Tokyo,
2a12:dd47:81e4::/48,JP,JP-F1,Fukushima,
2a12:dd47:81e6::/48,JP,JP-F2,Fukushima,
2a12:dd47:81ed::/48,US,US-KC,North Kansas City,
2a12:dd47:81ee::/48,US,US-LV,Las Vegas City,
2a12:dd47:81ef::/48,LU,LU-RO,Bissen-Roost,
